Datetime,Open,High,Low,Close,Volume
2024-04-24 13:30:00+00:00,165.92999267578125,166.71875,165.92999267578125,166.02749633789062,73716
2024-04-24 14:30:00+00:00,166.13475036621094,166.3300018310547,165.71499633789062,165.75,48808
2024-04-24 15:30:00+00:00,165.77999877929688,166.00999450683594,165.57749938964844,165.7949981689453,45605
2024-04-24 16:30:00+00:00,165.82749938964844,165.97500610351562,165.3350067138672,165.7899932861328,38649
2024-04-24 17:30:00+00:00,165.7949981689453,166.31985473632812,165.6074981689453,165.6074981689453,119096
2024-04-24 18:30:00+00:00,165.60499572753906,165.61749267578125,165.22000122070312,165.28250122070312,85766
2024-04-24 19:30:00+00:00,165.33999633789062,166.39999389648438,165.25,166.03500366210938,157890
2024-04-25 13:30:00+00:00,166.21499633789062,166.89999389648438,164.7987518310547,164.82249450683594,32035
2024-04-25 14:30:00+00:00,164.80999755859375,165.8175048828125,164.64500427246094,165.7899932861328,25010
2024-04-25 15:30:00+00:00,165.77749633789062,166.42250061035156,165.77749633789062,166.42250061035156,13279
2024-04-25 16:30:00+00:00,166.41749572753906,166.45249938964844,166.15249633789062,166.21499633789062,28317
2024-04-25 17:30:00+00:00,166.31500244140625,166.7135772705078,166.31500244140625,166.33999633789062,33392
2024-04-25 18:30:00+00:00,166.34375,166.64747619628906,166.12750244140625,166.5675048828125,37076
2024-04-25 19:30:00+00:00,166.4112548828125,166.4112548828125,166.20750427246094,166.25250244140625,61047
2024-04-26 13:30:00+00:00,165.27999877929688,166.60499572753906,165.27999877929688,166.48500061035156,33992
2024-04-26 14:30:00+00:00,166.53500366210938,167.02749633789062,166.45750427246094,166.6425018310547,21782
2024-04-26 15:30:00+00:00,166.67999267578125,166.90249633789062,166.5574951171875,166.6374969482422,18103
2024-04-26 16:30:00+00:00,166.60125732421875,166.96499633789062,166.46249389648438,166.96499633789062,17896
2024-04-26 17:30:00+00:00,166.9199981689453,167.2062530517578,166.9199981689453,167.08749389648438,21412
2024-04-26 18:30:00+00:00,167.04750061035156,167.2375030517578,166.7899932861328,167.17625427246094,32670
2024-04-26 19:30:00+00:00,167.2050018310547,167.23875427246094,166.4250030517578,166.5625,57253
2024-04-29 13:30:00+00:00,165.8350067138672,166.30624389648438,165.53500366210938,166.09500122070312,36450
2024-04-29 14:30:00+00:00,166.2624969482422,166.4199981689453,165.70750427246094,166.3837432861328,26965
2024-04-29 15:30:00+00:00,166.2324981689453,166.6925048828125,166.0850067138672,166.57249450683594,20983
2024-04-29 16:30:00+00:00,166.59249877929688,166.71670532226562,166.16250610351562,166.16250610351562,16571
2024-04-29 17:30:00+00:00,166.2725067138672,166.40499877929688,166.0500030517578,166.1337432861328,19552
2024-04-29 18:30:00+00:00,166.01499938964844,166.03750610351562,165.4149932861328,165.73350524902344,25660
2024-04-29 19:30:00+00:00,165.7987518310547,166.47975158691406,165.65750122070312,166.46499633789062,68438
2024-04-30 13:30:00+00:00,166.67999267578125,167.80499267578125,165.7616424560547,167.07875061035156,31123
2024-04-30 14:30:00+00:00,166.78875732421875,166.8249969482422,166.0812530517578,166.25250244140625,27254
2024-04-30 15:30:00+00:00,166.05499267578125,166.06312561035156,165.57000732421875,165.96749877929688,16095
2024-04-30 16:30:00+00:00,165.81124877929688,165.81124877929688,165.36000061035156,165.4600067138672,20488
2024-04-30 17:30:00+00:00,165.42750549316406,165.82249450683594,165.4112548828125,165.4112548828125,22557
2024-04-30 18:30:00+00:00,165.42999267578125,165.53375244140625,164.9012451171875,165.0381317138672,28785
2024-04-30 19:30:00+00:00,164.99000549316406,165.24000549316406,164.17025756835938,164.49749755859375,93263
2024-05-01 13:30:00+00:00,164.1699981689453,165.79750061035156,164.1699981689453,165.09750366210938,24600
2024-05-01 14:30:00+00:00,164.99874877929688,165.78750610351562,164.71499633789062,165.5362548828125,26542
2024-05-01 15:30:00+00:00,165.59249877929688,166.24000549316406,165.41749572753906,165.96499633789062,17447
2024-05-01 16:30:00+00:00,165.8925018310547,165.92938232421875,165.6374969482422,165.9187469482422,20794
2024-05-01 17:30:00+00:00,165.89999389648438,166.1300048828125,165.6387481689453,165.9499969482422,19351
2024-05-01 18:30:00+00:00,165.9462432861328,167.61749267578125,165.49000549316406,167.21774291992188,48174
2024-05-01 19:30:00+00:00,167.1649932861328,167.1649932861328,165.8975067138672,165.8975067138672,66314
2024-05-02 13:30:00+00:00,165.96249389648438,166.0,162.16250610351562,162.94500732421875,60671
2024-05-02 14:30:00+00:00,163.0137481689453,164.70590209960938,162.84500122070312,164.59750366210938,44201
