,Open,High,Low,Close,Volume
2024-04-24 13:30:00+00:00,131.92349243164062,133.38999938964844,131.92349243164062,132.84500122070312,305474.0
2024-04-24 14:30:00+00:00,132.8300018310547,132.9600067138672,132.30999755859375,132.44000244140625,280784.0
2024-04-24 15:30:00+00:00,132.42999267578125,132.63999938964844,132.2449951171875,132.53500366210938,283019.0
2024-04-24 16:30:00+00:00,132.52999877929688,132.5449981689453,132.19000244140625,132.30999755859375,236716.0
2024-04-24 17:30:00+00:00,132.3300018310547,132.6999969482422,132.13999938964844,132.55999755859375,205285.0
2024-04-24 18:30:00+00:00,132.5500030517578,132.8000030517578,132.47999572753906,132.74000549316406,244888.0
2024-04-24 19:30:00+00:00,132.72999572753906,132.77000427246094,132.5,132.58999633789062,435892.0
2024-04-25 13:30:00+00:00,132.6199951171875,133.1649932861328,130.67999267578125,131.0500030517578,487776.0
2024-04-25 14:30:00+00:00,130.99000549316406,131.63999938964844,130.82000732421875,131.4499969482422,262097.0
2024-04-25 15:30:00+00:00,131.44500732421875,131.9199981689453,131.3000030517578,131.91909790039062,222499.0
2024-04-25 16:30:00+00:00,131.89999389648438,132.0937957763672,131.5800018310547,131.8800048828125,193416.0
2024-04-25 17:30:00+00:00,131.86000061035156,132.1999969482422,131.80999755859375,132.0,165898.0
2024-04-25 18:30:00+00:00,132.0,132.30999755859375,131.9149932861328,132.19000244140625,225268.0
2024-04-25 19:30:00+00:00,132.1699981689453,132.22900390625,131.97000122070312,132.13999938964844,385817.0
2024-04-26 13:30:00+00:00,131.875,133.76499938964844,131.875,133.75999450683594,302965.0
2024-04-26 14:30:00+00:00,133.7449951171875,134.3000030517578,133.72000122070312,133.91799926757812,221213.0
2024-04-26 15:30:00+00:00,133.89999389648438,133.94000244140625,133.65499877929688,133.6999969482422,103310.0
2024-04-26 16:30:00+00:00,133.6699981689453,133.8350067138672,133.52000427246094,133.5946044921875,144138.0
2024-04-26 17:30:00+00:00,133.61000061035156,133.80999755859375,133.47999572753906,133.77499389648438,139240.0
2024-04-26 18:30:00+00:00,133.75999450683594,134.0800018310547,133.69000244140625,133.93499755859375,184534.0
2024-04-26 19:30:00+00:00,133.94000244140625,133.97999572753906,133.5800018310547,133.58999633789062,350050.0
2024-04-29 13:30:00+00:00,133.3000030517578,133.48500061035156,132.27000427246094,132.47000122070312,298408.0
2024-04-29 14:30:00+00:00,132.47999572753906,132.52999877929688,131.12989807128906,131.2100067138672,471408.0
2024-04-29 15:30:00+00:00,131.22500610351562,131.64999389648438,131.0,131.36000061035156,530363.0
2024-04-29 16:30:00+00:00,131.36000061035156,131.4600067138672,130.7449951171875,131.0399932861328,220403.0
2024-04-29 17:30:00+00:00,131.02999877929688,131.5399932861328,130.8699951171875,130.8699951171875,353451.0
2024-04-29 18:30:00+00:00,130.88499450683594,130.93499755859375,130.1750030517578,130.25999450683594,381040.0
2024-04-29 19:30:00+00:00,130.25999450683594,131.14999389648438,130.19000244140625,131.0500030517578,624048.0
2024-04-30 13:30:00+00:00,130.7100067138672,130.9600067138672,129.75759887695312,129.97000122070312,426651.0
2024-04-30 14:30:00+00:00,129.96499633789062,130.47500610351562,129.72999572753906,130.0399932861328,374800.0
2024-04-30 15:30:00+00:00,130.07000732421875,130.20750427246094,129.82000732421875,129.83999633789062,199932.0
2024-04-30 16:30:00+00:00,129.80999755859375,129.80999755859375,129.27999877929688,129.61000061035156,227328.0
2024-04-30 17:30:00+00:00,129.58999633789062,129.77999877929688,129.25999450683594,129.25999450683594,194816.0
2024-04-30 18:30:00+00:00,129.25999450683594,129.39999389648438,129.11000061035156,129.3000030517578,246462.0
2024-04-30 19:30:00+00:00,129.3000030517578,129.69000244140625,129.25999450683594,129.57000732421875,633423.0
2024-05-01 13:30:00+00:00,128.9199981689453,129.72999572753906,127.9499969482422,128.15499877929688,436097.0
2024-05-01 14:30:00+00:00,128.14500427246094,128.6699981689453,128.0500030517578,128.49000549316406,322469.0
2024-05-01 15:30:00+00:00,128.48500061035156,129.0,128.35000610351562,128.8300018310547,212260.0
2024-05-01 16:30:00+00:00,128.77999877929688,128.82000732421875,128.39999389648438,128.58999633789062,183247.0
2024-05-01 17:30:00+00:00,128.57000732421875,128.76499938964844,128.05999755859375,128.14500427246094,366675.0
2024-05-01 18:30:00+00:00,128.14999389648438,129.24000549316406,127.81999969482422,128.81500244140625,642476.0
2024-05-01 19:30:00+00:00,128.7899932861328,128.7899932861328,127.7699966430664,127.83000183105467,639932.0
2024-05-02 13:30:00+00:00,128.8300018310547,129.0399932861328,127.8000030517578,128.19500732421875,412509.0
2024-05-02 14:30:00+00:00,128.2100067138672,128.82899475097656,128.1300048828125,128.1750030517578,257991.0
2024-05-02 15:30:00+00:00,128.19000244140625,128.29209899902344,127.9800033569336,128.0850067138672,150430.0
2024-05-02 16:30:00+00:00,128.07000732421875,128.30999755859375,127.8000030517578,128.25799560546875,136819.0
2024-05-02 17:30:00+00:00,128.25,128.5,128.05499267578125,128.36000061035156,219358.0
2024-05-02 18:30:00+00:00,128.36000061035156,128.38999938964844,127.8949966430664,128.0449981689453,351407.0
2024-05-02 19:30:00+00:00,128.0500030517578,128.0500030517578,127.5250015258789,127.68000030517578,386924.0
2024-05-03 13:30:00+00:00,128.02000427246094,130.13999938964844,128.02000427246094,130.0749969482422,497758.0
2024-05-03 14:30:00+00:00,130.07000732421875,130.64999389648438,129.97000122070312,130.35000610351562,426915.0
2024-05-03 15:30:00+00:00,130.36000061035156,131.18499755859375,130.30499267578125,131.0749969482422,429884.0
2024-05-03 16:30:00+00:00,131.0800018310547,131.14999389648438,130.52999877929688,130.82000732421875,404518.0
2024-05-03 17:30:00+00:00,130.82000732421875,131.3300018310547,130.52000427246094,130.94000244140625,381500.0
2024-05-03 18:30:00+00:00,130.9499969482422,131.27000427246094,130.85000610351562,131.125,421143.0
2024-05-03 19:30:00+00:00,131.1199951171875,131.41000366210938,130.72000122070312,130.85000610351562,695657.0
2024-05-06 13:30:00+00:00,130.9499969482422,132.0449981689453,130.9499969482422,131.67999267578125,272737.0
2024-05-06 14:30:00+00:00,131.77000427246094,132.1300048828125,130.83999633789062,131.99000549316406,258736.0
2024-05-06 15:30:00+00:00,131.97000122070312,131.97999572753906,131.60000610351562,131.74000549316406,204665.0
2024-05-06 16:30:00+00:00,131.74000549316406,131.9199981689453,131.66000366210938,131.89999389648438,216294.0
2024-05-06 17:30:00+00:00,131.91000366210938,131.9199981689453,131.69500732421875,131.88999938964844,222029.0
2024-05-06 18:30:00+00:00,131.88999938964844,131.9199981689453,131.72500610351562,131.7429962158203,243425.0
2024-05-06 19:30:00+00:00,131.74000549316406,132.52000427246094,131.6999969482422,132.47999572753906,487074.0
2024-05-07 13:30:00+00:00,132.7899932861328,133.3699951171875,132.58999633789062,132.6300048828125,261143.0
2024-05-07 14:30:00+00:00,132.6300048828125,132.67999267578125,132.0800018310547,132.1300048828125,229886.0
2024-05-07 15:30:00+00:00,132.1199951171875,132.22999572753906,131.86000061035156,131.9600067138672,171687.0
2024-05-07 16:30:00+00:00,131.98500061035156,132.0500030517578,131.72999572753906,131.91000366210938,159797.0
2024-05-07 17:30:00+00:00,131.9149932861328,131.99000549316406,131.66000366210938,131.7899932861328,160892.0
2024-05-07 18:30:00+00:00,131.77000427246094,131.8000030517578,131.4199981689453,131.61000061035156,193981.0
2024-05-07 19:30:00+00:00,131.6199951171875,131.72000122070312,131.51499938964844,131.57000732421875,354178.0
2024-05-08 13:30:00+00:00,131.55999755859375,132.22500610351562,131.02999877929688,132.17999267578125,183662.0
2024-05-08 14:30:00+00:00,132.1999969482422,132.4600067138672,131.8350067138672,132.27999877929688,190411.0
2024-05-08 15:30:00+00:00,132.2899932861328,132.3300018310547,132.02999877929688,132.22000122070312,122164.0
2024-05-08 16:30:00+00:00,132.22999572753906,132.3300018310547,132.05999755859375,132.3249969482422,148609.0
2024-05-08 17:30:00+00:00,132.32000732421875,132.6300048828125,132.2100067138672,132.6199951171875,155252.0
2024-05-08 18:30:00+00:00,132.60499572753906,132.63499450683594,132.27999877929688,132.5,178524.0
2024-05-08 19:30:00+00:00,132.5,132.8249969482422,132.4499969482422,132.72000122070312,334894.0
2024-05-09 13:30:00+00:00,133.0500030517578,134.47999572753906,132.9199981689453,134.34500122070312,522250.0
2024-05-09 14:30:00+00:00,134.38999938964844,134.47000122070312,134.1300048828125,134.3300018310547,179886.0
2024-05-09 15:30:00+00:00,134.3300018310547,134.58999633789062,134.2100067138672,134.4199981689453,125933.0
2024-05-09 16:30:00+00:00,134.42010498046875,134.74000549316406,134.36000061035156,134.72000122070312,135051.0
2024-05-09 17:30:00+00:00,134.7375946044922,134.8699951171875,134.5800018310547,134.83999633789062,117029.0
2024-05-09 18:30:00+00:00,134.83999633789062,134.91000366210938,134.74000549316406,134.86000061035156,141233.0
2024-05-09 19:30:00+00:00,134.86000061035156,135.0399932861328,134.75,134.91000366210938,302785.0
2024-05-10 13:30:00+00:00,134.8699951171875,135.72999572753906,133.81500244140625,133.9499969482422,230173.0
2024-05-10 14:30:00+00:00,133.9149932861328,134.3000030517578,133.6699981689453,133.91000366210938,196876.0
2024-05-10 15:30:00+00:00,133.92999267578125,134.00999450683594,133.52999877929688,133.5500030517578,127279.0
2024-05-10 16:30:00+00:00,133.5500030517578,133.8699951171875,133.47999572753906,133.63999938964844,182598.0
2024-05-10 17:30:00+00:00,133.63999938964844,133.82000732421875,133.43600463867188,133.47000122070312,155955.0
