Date,Open,High,Low,Close,Volume
2016-06-13,107.5148439684109,108.47736030953202,105.46011958905699,106.96873474121094,346900
2016-06-14,107.04379499812761,107.11206253852654,106.23145918173577,106.62738800048828,285000
2016-06-15,106.52499947341973,107.71960854379991,106.34068544317788,107.26224517822266,337600
2016-06-16,106.99603660796866,108.43639449131618,106.64788666768035,108.38178253173828,332700
2016-06-17,108.1974630712492,108.1974630712492,106.8253728098814,107.39196014404297,696300
2016-06-20,107.83829779306251,108.71045661619664,107.46746446663494,107.59107208251953,342600
2016-06-21,107.59110352688488,108.30531600108732,107.13785451196144,107.87953186035156,248400
2016-06-22,108.03747462074675,108.28468989199399,107.48808290083231,107.91385650634766,230100
2016-06-23,108.54566862640019,109.12939937591145,107.77652639730232,108.34651947021484,194700
2016-06-24,105.11886271679298,109.02638837753823,104.96777970242012,107.68038940429688,707900
2016-06-27,107.1378646809784,109.60325914409633,106.97991806215967,109.26675415039062,390300
2016-06-28,110.07709011219985,111.58792018335109,109.65818004315828,111.54670715332031,431200
2016-06-29,112.04801087253152,112.9544982590188,112.04801087253152,112.61112976074219,402400
2016-06-30,112.85837453801362,113.73739720359208,111.78020272049898,113.6893310546875,438800
2016-07-01,114.25932027079854,114.6095524139816,113.34595868457752,113.81293487548828,255600
2016-07-05,114.0464305587225,115.61905384269102,113.81293199040978,115.52291107177734,343500
2016-07-06,114.98728922487493,115.89377696489522,114.62331931305432,115.67402648925781,576400
2016-07-07,115.35125668800168,115.35125668800168,113.21550342195783,114.20440673828125,336100
2016-07-08,114.71943185567734,115.29628849071617,114.19064136750362,115.24134826660156,343600
2016-07-11,115.30318731078437,115.90065588130379,114.34175929203283,115.48860931396484,323000
2016-07-12,115.43363768312203,115.43363768312203,113.61378854293672,114.51341247558594,336600
2016-07-13,114.50656117161634,115.21389962875153,114.2249964128948,115.10401916503906,278700
2016-07-14,114.53400131105718,115.21387474481381,113.10558702763778,113.49703216552734,462600
2016-07-15,113.82666873991995,114.13569832400162,113.13306807531208,114.0326919555664,324900
2016-07-18,113.97090148266994,114.40353875954395,113.43523686774219,113.96402740478516,231200
2016-07-19,113.99839665186519,114.60272885479554,113.35973596549748,114.56838989257812,224000
2016-07-20,114.62327571380236,114.62327571380236,113.9365387106336,114.10822296142578,367300
2016-07-21,113.84040736116849,114.56148338253429,113.20173643523553,114.32112121582031,443600
2016-07-22,114.27305027630527,115.22075083603775,114.22498412783675,114.76750183105469,342900
2016-07-25,114.98035239830564,115.32372084311277,114.01206134781727,114.92542266845703,372400
2016-07-26,115.1314927863967,115.22077197979152,114.14259997420632,114.44475555419922,304100
2016-07-27,114.53400228081865,114.53400228081865,112.87209990745104,113.86786651611328,246300
2016-07-28,113.94341089561883,116.25084781931616,113.94341089561883,115.85941314697266,337700
2016-07-29,115.82505903132157,117.4869612291617,115.44735160481827,116.53926086425781,496500
2016-08-01,116.7109404172633,117.17105290787586,116.40877448819857,116.98564147949219,246800
2016-08-02,116.34010671921372,116.60793370481856,114.89109136664035,115.0078353881836,498800
2016-08-03,115.21386806109781,115.21386806109781,113.88846021781414,114.38978576660156,321400
2016-08-04,114.63702499038912,114.63702499038912,113.6412582397461,113.6412582397461,261900
2016-08-05,114.54777861642883,114.76752909364242,112.28840713228725,112.92020416259766,469000
2016-08-08,112.920165976366,112.920165976366,111.11405469442717,111.5535659790039,438800
2016-08-09,111.67030335682877,112.10295101758696,110.58525764551973,111.75958251953125,388000
2016-08-10,111.93814470476092,112.2128353468817,111.1003246238833,111.38188934326172,369800
2016-08-11,111.47116373066827,111.47116373066827,109.29419804629897,109.76118469238281,324200
2016-08-12,109.69937612014219,111.18272012992514,109.69937612014219,110.02900695800781,252000
2016-08-15,110.15262224179746,110.56466867682403,109.49336052028632,109.60324096679688,226300
2016-08-16,109.39036301187126,109.46590452235566,107.76279921544493,108.01002502441406,421900
