Date,Open,High,Low,Close,Volume
2016-06-13,38.04250312102982,38.20039663114662,37.480007255958824,37.4997444152832,1129500
2016-06-14,37.37146651898803,37.48988951219021,36.85831150855016,37.075416564941406,1405900
2016-06-15,37.23330630460395,37.845143315456575,37.0063345709728,37.57870101928711,1456000
2016-06-16,37.40107058070254,37.766198697036714,36.98659767300291,37.65764617919922,1233100
2016-06-17,37.72672850335967,37.993174595114894,37.48989004256356,37.73659896850586,1486400
2016-06-20,38.21027229068,38.74316060701256,38.13132364264334,38.338558197021484,1006400
2016-06-21,38.33856082753197,38.36816845481655,38.01290704323359,38.02277374267578,1113300
2016-06-22,38.042519727708104,38.26949151230097,37.795810775175,37.815547943115234,868600
2016-06-23,37.90435220375044,38.072116199817174,37.42080114218266,37.91421890258789,1653600
2016-06-24,36.43396963285442,36.710286168950134,35.36818911056266,35.4372673034668,2773800
2016-06-27,35.01293545801324,35.01293545801324,33.58202272458909,33.86820602416992,2707400
2016-06-28,34.18399389620908,34.56885928276135,33.828732381090035,34.065574645996094,2893200
2016-06-29,34.430687483935905,34.76621168006752,33.55240455524745,34.568843841552734,3436300
2016-06-30,34.72675593729116,36.0787239074707,34.72675593729116,36.0787239074707,2444800
2016-07-01,36.443851543068845,36.47345541661702,35.792539973646406,35.901092529296875,1946800
2016-07-05,35.772792815383184,35.94055307129146,35.11161472753858,35.24977111816406,1892400
2016-07-06,35.22015414408923,35.32870664063168,34.59845055121969,35.299102783203125,1998400
2016-07-07,35.39779989202476,35.63464214574911,34.933989615387766,35.239906311035156,1768300
2016-07-08,35.89121470506889,36.512922273509965,35.8517441365885,36.503055572509766,1971300
2016-07-11,36.562262071753636,38.10172712484622,36.3648941781039,37.73659896850586,4190400
2016-07-12,38.091853240562806,38.25961725267434,37.549094405103844,37.85501480102539,1393000
2016-07-13,37.99317311339255,38.062251308804015,37.618174506530835,37.86488342285156,819300
2016-07-14,38.378035316168905,38.49645453236982,37.98330334067287,38.06224822998047,1423400
2016-07-15,38.23000909478419,38.47671797087101,37.93395543189704,38.23987579345703,1470400
2016-07-18,38.17080610235482,38.51619709993474,37.90436000515908,38.47672653198242,1479500
2016-07-19,38.308953813482084,38.76289724006218,38.072115401561454,38.200401306152344,932400
2016-07-20,38.11159181954353,38.841851858267134,38.091854654769456,38.75303649902344,1136500
2016-07-21,38.76290296211357,39.078690067608974,38.516194050665334,38.693824768066406,1723600
2016-07-22,38.93066352350027,39.473422327609114,38.43724574440516,39.29579162597656,2582900
2016-07-25,39.11817579512411,39.19712447674156,38.496468103067905,38.63462829589844,1762900
2016-07-26,38.73330228668722,39.11816761791974,38.73330228668722,39.039222717285156,1229400
2016-07-27,38.99974541198044,38.99974541198044,38.6148801100842,38.75303649902344,1656800
2016-07-28,38.63462654879256,38.77278297089514,38.30896889856775,38.68396759033203,983600
2016-07-29,38.61488868578864,38.61488868578864,38.081996411980256,38.48659896850586,870500
2016-08-01,38.40764721089582,38.565544551488486,37.99317798527943,38.16093826293945,1091200
2016-08-02,38.072113486033494,38.11158404304859,37.529350976692896,37.70698165893555,1019500
2016-08-03,37.69712633130726,38.29909673998083,37.69712633130726,38.21028137207031,733600
2016-08-04,38.23001223703752,38.378035316168905,37.98330334067287,38.06224822998047,692300
2016-08-05,38.190535726806495,38.516189493861255,38.003034567022155,38.49645233154297,854800
2016-08-08,38.575405200024896,38.81224740927032,38.49645654211669,38.59514236450195,525700
2016-08-09,38.56555008172334,38.82212576801936,38.4175231859308,38.63462829589844,566900
2016-08-10,38.664218662158774,38.664218662158774,38.25961622141558,38.60500717163086,785600
2016-08-11,38.66421776621592,38.970138146802704,38.66421776621592,38.87145233154297,490100
2016-08-12,38.772773426679876,38.86158878538041,38.49645688601197,38.693824768066406,518400
2016-08-15,38.75303276878034,39.78920935056485,38.58526876658879,39.77934265136719,1374300
2016-08-16,39.51289808153849,39.88789289677952,39.216848156276974,39.67079162597656,1160300
2016-08-17,39.729998214301496,39.94710324336466,39.52276364900244,39.87802505493164,1176100
2016-08-18,39.86816455502022,40.1148734847803,39.84842738890187,40.00632095336914,668000
2016-08-19,39.87802408578947,40.134599670236796,39.74973441132639,40.124732971191406,613100
2016-08-22,39.976714146429146,40.36158324695518,39.70040134403264,40.243160247802734,727300
2016-08-23,40.37143932543404,40.61814819536812,40.262886820346466,40.46025466918945,1054600
2016-08-24,40.36157262700726,40.65762251803244,40.24314965901431,40.46025466918945,1994200
2016-08-25,40.42078557007672,40.43065603425765,40.15433950437782,40.33197021484375,2048800
2016-08-26,40.39118768116289,40.60829275150859,40.10500440924895,40.40105438232422,1006000
2016-08-29,40.39117916482837,40.75630726248595,40.34183814046581,40.6674919128418,1482200
2016-08-30,40.63790152954823,40.78592841621104,40.50961181207246,40.697113037109375,833900
2016-08-31,40.64776492047158,40.65763538650104,40.11487645375421,40.31224060058594,1466400
2016-09-01,40.341855774571656,40.37145964923378,39.72014805530367,40.27277755737305,1378300
2016-09-02,40.49972943469301,40.72670114577672,40.34183590678787,40.57867431640625,929700
2016-09-06,40.56881952760098,40.68723876717433,40.035927302801255,40.1740837097168,1062100
2016-09-07,40.02598352680991,40.37154427775241,39.92724919344797,40.29256057739258,857000
2016-09-08,40.09508517357316,40.48013955699047,39.966732456991146,40.30242156982422,1031400
2016-09-09,39.89762955479436,40.03585385093843,39.31511018795176,39.32498550415039,1179300
2016-09-12,39.00904698445394,40.03586162128399,38.97942856276875,39.907508850097656,1380900
2016-09-13,39.53232501932748,39.71004306141243,39.09790146475099,39.27561950683594,1052300
2016-09-14,39.324979769323306,39.4138350041755,38.31791234471217,38.47588348388672,1987800
2016-09-15,38.46601863589346,38.96955436837774,38.35741274197215,38.88069534301758,1307100
2016-09-16,38.683218227383534,38.86093622207152,38.36727596267799,38.41664123535156,1458000
2016-09-19,38.67335550438188,38.93993258320643,38.46601903185061,38.5943717956543,566100
2016-09-20,38.83131781173315,38.9103014947451,38.3870228250132,38.41664123535156,1083200
2016-09-21,38.63385227418754,38.82144181357435,38.337656877034576,38.78194808959961,852800
2016-09-22,39.08802832198034,39.354605374249545,38.87081655353957,39.21638107299805,854200
2016-09-23,39.07815897162213,39.275620118051776,38.920184028350505,38.949806213378906,656900
2016-09-26,38.841200536599345,39.05841231846215,38.60424188671902,38.70297622680664,561800
2016-09-27,38.63386509140087,39.10777863733745,38.495640777960624,39.08803176879883,745300
2016-09-28,39.16700426814501,39.71003358173229,39.06827372003586,39.67053985595703,845200
2016-09-29,39.67054678614493,39.73965893516058,38.93005624698045,38.999168395996094,839900
2016-09-30,39.22624770355039,39.394094167111746,39.058405006318296,39.245994567871094,1282000
2016-10-03,38.94979574198957,39.52243969207799,38.94979574198957,39.37434387207031,790600
2016-10-04,39.512568207347186,39.640920931289614,38.663471945823176,38.71283721923828,838700
2016-10-05,38.880692385633935,39.137394124743295,38.791833367032666,39.097900390625,1338000
2016-10-06,39.25588060124147,39.48296774155405,39.11765626632471,39.40398025512695,989300
2016-10-07,37.202241142985706,38.14019648222808,36.71845238356031,38.00197219848633,3175800
2016-10-10,38.209315505640504,38.56475159432189,38.14020335132245,38.367286682128906,832000
2016-10-11,38.16981078329542,38.26854132780875,37.24173085935198,37.41944885253906,1209900
2016-10-12,37.39971214626896,37.686032309639465,37.39971214626896,37.48857116699219,1078900
2016-10-13,37.24173916317135,37.547806179203995,37.073892680479204,37.46882247924805,974800
2016-10-14,37.646543269393476,37.76502071116985,37.192372837645756,37.291107177734375,1303300
2016-10-17,37.340484619140625,37.49845584837293,37.2713724417472,37.340484619140625,628900
2016-10-18,37.735381649919084,37.883477429544214,37.488551584215955,37.60702896118164,1814000
2016-10-19,37.76500005257853,38.0611953781567,37.478676272444204,37.60702896118164,2359900
2016-10-20,36.83692572760034,39.403957278331816,36.7184445670471,38.98928451538086,2798000
2016-10-21,38.49562868469239,38.65359981704517,38.179682653657956,38.41664123535156,1833600
2016-10-24,38.75233749174117,39.12752041247553,38.52525418260262,38.535125732421875,1387700
2016-10-25,38.54500633057697,38.900442434050355,38.44627198720653,38.63386535644531,1297200
2016-10-26,38.48574745369036,39.47306782069009,38.37714161070786,39.3447151184082,1826800
2016-10-27,39.49282746288985,39.52244587826157,39.00903866928446,39.06827926635742,1296800
2016-10-28,39.11764727711332,39.84826629334556,38.99916984102937,39.305240631103516,1100300
2016-10-31,39.47307355049915,39.77914426457569,39.334849281667445,39.571807861328125,1100800
2016-11-01,39.7001736857596,39.81865490910075,38.81158710868368,39.04854202270508,1136900
2016-11-02,39.038666387834105,39.27562127707419,38.495640686468015,38.50551223754883,1030600
2016-11-03,38.62398003266348,38.73258589906949,38.29816619977457,38.52524948120117,1030200
2016-11-04,38.55487717349884,39.018919162990244,38.515383436876164,38.58449935913086,866200
2016-11-07,39.394089774226494,40.24318224735782,39.3447207357653,40.23331069946289,1878600
2016-11-08,40.095080807255634,40.54924727329832,39.9963465105105,40.213558197021484,1341900
2016-11-09,39.68041633033141,42.543647776898254,39.650797915487516,42.33631134033203,3138600
2016-11-10,42.65224458787403,44.03449097086507,42.65224458787403,43.521087646484375,2720900
2016-11-11,43.24465040285777,44.192477469483755,42.85959589243659,44.14311218261719,2353600
2016-11-14,44.18259920410236,45.26865041543681,44.143105474079086,44.56765365600586,2512400
2016-11-15,44.45905450887888,44.63677255454545,43.91602882104433,44.55778884887695,1354600
2016-11-16,44.31095813922711,44.64664735870345,44.0246342060176,44.05425262451172,1023300
2016-11-17,44.17272545889317,44.330696604804004,43.95551372089233,44.004878997802734,945000
2016-11-18,43.82716153693229,43.837036852235606,43.609949796210195,43.6790657043457,841100
2016-11-21,43.72844092649579,44.02463642535831,43.63958190020403,43.995018005371094,1425600
2016-11-22,44.182613046585544,44.715767269949716,44.093754009358186,44.63677978515625,968500
2016-11-23,44.71575793802778,45.288402017950574,44.51829303358448,45.19954299926758,1059100
2016-11-25,45.248904632847506,45.36738204956055,44.87372175253884,45.36738204956055,643100
2016-11-28,45.12054443359375,45.268640238392884,44.65650262596699,45.12054443359375,1425900
2016-11-29,45.051446237463324,45.5648534721339,44.88359975385482,45.39700698852539,1182900
