Date,Open,High,Low,Close,Volume
2016-06-13,114.30350037235632,115.65832769219502,114.05000958135354,114.22482299804688,1133900
2016-06-14,114.16368603831378,114.60946241445346,113.49938947707187,114.08502197265625,1260900
2016-06-15,114.60946504604327,115.33495367773057,113.91021110759117,114.16368865966797,1316200
2016-06-16,115.47476760567986,116.66351753905639,113.72660672350314,115.62335968017578,2788200
2016-06-17,115.61466356862383,116.06917595187905,114.92413231295578,115.67584228515625,2039400
2016-06-20,116.80339690769854,117.39776532423238,115.43108393951798,116.00798034667969,2068800
2016-06-21,116.57612127640276,116.62856397658256,114.81048812909775,114.89788818359375,2065700
2016-06-22,114.76681842898697,114.76681842898697,112.20575459953855,112.51168823242188,3640200
2016-06-23,113.41194217278186,113.88393976307539,111.6375598670521,112.46793365478516,3328500
2016-06-24,109.10274493289977,111.44528130872553,108.13251489153909,110.46630859375,3111700
2016-06-27,109.54854424678905,109.54854424678905,107.43327038885663,109.12898254394531,2311400
2016-06-28,110.31772491723355,111.95225823542044,109.60972168055838,111.05195617675781,2646800
2016-06-29,111.66380842408665,114.95034702515865,111.29669613386687,114.92412567138672,2420300
2016-06-30,114.39091600351749,115.50973802774116,113.88394768982074,114.8017349243164,2307500
2016-07-01,114.72307483377516,115.76323284625381,113.9101863054817,115.0901870727539,1222700
2016-07-05,115.07273416237102,115.30000371061658,113.7790982883697,114.36473083496094,998000
2016-07-06,113.86650202531122,116.06917589280329,113.49064037069544,115.4835433959961,1707100
2016-07-07,115.76324853560436,115.771984541022,112.36307519034601,113.14100646972656,2007600
2016-07-08,113.88395985462753,116.13908948923755,112.52914554281804,115.50975036621094,1721700
2016-07-11,115.64088890437031,115.85940909756171,113.9102127087704,114.99406433105469,1382200
2016-07-12,115.43109368606854,115.77198462137274,114.8629465730325,115.27376556396484,1083800
2016-07-13,115.7457811893904,116.96950234624074,115.36118349259215,116.89957427978516,1509500
2016-07-14,117.5376398255697,117.71245330854217,116.68978042886872,117.04815673828125,828400
2016-07-15,117.59011076831032,118.84005347961259,116.86462196925265,117.39781188964844,1206700
2016-07-18,117.747422721625,118.25437781548439,117.24919029631032,118.00090026855469,1060600
2016-07-19,116.91702578220153,117.65126368246796,113.6304872598468,115.43109130859375,2670000
2016-07-20,116.32267531155743,119.29454471823291,116.00800568776941,118.41172790527344,1831300
2016-07-21,117.63377285521418,122.91321399506423,117.26666059088727,121.49720764160156,3560700
2016-07-22,122.1353035341261,125.15087955466069,121.61959907541556,124.94110870361328,2631700
2016-07-25,124.67013503867622,124.94109792284142,122.17026369255814,122.35381317138672,2140900
2016-07-26,121.86431673230459,122.44994913900908,119.82770731575286,120.2647476196289,2712700
2016-07-27,116.6897935560855,120.61442137678216,115.37867228017443,117.00446319580078,3379800
2016-07-28,116.38386445944988,117.33662276018119,115.42238348875738,116.16534423828125,2530500
2016-07-29,115.3436739285636,116.22649047250883,114.67936418221102,114.8017349243164,1916200
2016-08-01,114.90664330894488,115.09892877347899,111.2966861075394,111.54142761230469,2633800
2016-08-02,111.86483760556378,112.73017552832945,109.52230134163496,109.74955749511719,3231300
2016-08-03,109.89817501439461,112.66026670115139,109.60098409333645,111.76870727539062,2597400
2016-08-04,111.61136661047348,111.77743740859457,110.24779618505433,110.85091400146484,1409700
2016-08-05,111.65507189968642,112.38056718333839,111.10440343402693,111.75996398925781,1187300
2016-08-08,111.58517655409779,112.18829453967189,111.0782080058966,111.65509796142578,1555800
2016-08-09,111.96099569200129,112.31063598078848,111.48899797390516,112.27566528320312,1277000
